900 3.795 0.759
905 3.795 0.759
910 3.794 0.759
915 3.794 0.759
920 3.793 0.759
925 3.793 0.759
930 3.792 0.758
935 3.792 0.758
940 3.792 0.758
945 3.791 0.758
950 3.791 0.758
955 3.790 0.758
960 3.790 0.758
965 3.790 0.758
970 3.789 0.758
975 3.789 0.758
980 3.789 0.758
985 3.788 0.758
990 3.787 0.757
995 3.787 0.757
1000 3.787 0.757
1005 3.786 0.757
1010 3.786 0.757
1015 3.786 0.757
1020 3.785 0.757
1025 3.785 0.757
1030 3.785 0.757
1035 3.784 0.757
1040 3.784 0.757
1045 3.783 0.757
1050 3.783 0.757
1055 3.782 0.756
1060 3.782 0.756
1065 3.781 0.756
1070 3.781 0.756
1075 3.780 0.756
1080 3.780 0.756
1085 3.780 0.756
1090 3.779 0.756
1095 3.779 0.756
1100 3.779 0.756
1105 3.778 0.756
1110 3.778 0.756
1115 3.777 0.755
1120 3.777 0.755
1125 3.776 0.755
1130 3.776 0.755
1135 3.775 0.755
1140 3.775 0.755
1145 3.775 0.755
1150 3.774 0.755
1155 3.774 0.755
1160 3.773 0.755
1165 3.773 0.755
1170 3.772 0.754
1175 3.772 0.754
1180 3.771 0.754
1185 3.771 0.754
1190 3.770 0.754
1195 3.770 0.754
1200 3.769 0.754
1205 3.769 0.754
1210 3.768 0.754
1215 3.768 0.754
1220 3.768 0.754
1225 3.767 0.753
1230 3.766 0.753
1235 3.766 0.753
1240 3.766 0.753
1245 3.765 0.753
1250 3.765 0.753
1255 3.764 0.753
1260 3.764 0.753
1265 3.763 0.753
1270 3.763 0.753
1275 3.762 0.752
1280 3.762 0.752
1285 3.761 0.752
1290 3.761 0.752
1295 3.760 0.752
1300 3.760 0.752
1305 3.759 0.752
1310 3.759 0.752
1315 3.758 0.752
1320 3.758 0.752
1325 3.758 0.752
1330 3.757 0.751
1335 3.757 0.751
1340 3.756 0.751
1345 3.756 0.751
1350 3.756 0.751
1355 3.755 0.751
1360 3.755 0.751
1365 3.754 0.751
1370 3.754 0.751
1375 3.753 0.751
1380 3.753 0.751
1385 3.753 0.751
1390 3.752 0.750
1395 3.752 0.750
1400 3.751 0.750
1405 3.751 0.750
1410 3.751 0.750
1415 3.750 0.750
1420 3.750 0.750
1425 3.749 0.750
1430 3.749 0.750
1435 3.748 0.750
1440 3.748 0.750
1445 3.748 0.750
1450 3.747 0.749
1455 3.746 0.749
1460 3.746 0.749
1465 3.745 0.749
1470 3.745 0.749
1475 3.745 0.749
1480 3.744 0.749
1485 3.744 0.749
1490 3.743 0.749
1495 3.742 0.748
1500 3.741 0.748
1505 3.741 0.748
1510 3.740 0.748
1515 3.740 0.748
1520 3.739 0.748
1525 3.739 0.748
1530 3.738 0.748
1535 3.738 0.748
1540 3.738 0.748
1545 3.737 0.747
1550 3.737 0.747
1555 3.737 0.747
1560 3.736 0.747
1565 3.736 0.747
1570 3.736 0.747
1575 3.735 0.747
1580 3.735 0.747
1585 3.734 0.747
1590 3.734 0.747
1595 3.733 0.747
1600 3.733 0.747
1605 3.733 0.747
1610 3.732 0.746
1615 3.732 0.746
1620 3.731 0.746
1625 3.731 0.746
1630 3.731 0.746
1635 3.731 0.746
1640 3.730 0.746
1645 3.729 0.746
1650 3.729 0.746
1655 3.728 0.746
1660 3.728 0.746
1665 3.727 0.745
1670 3.727 0.745
1675 3.727 0.745
1680 3.727 0.745
1685 3.726 0.745
1690 3.726 0.745
1695 3.725 0.745
1700 3.725 0.745
1705 3.724 0.745
1710 3.723 0.745
1715 3.723 0.745
1720 3.723 0.745
1725 3.722 0.744
1730 3.722 0.744
1735 3.722 0.744
1740 3.721 0.744
1745 3.721 0.744
1750 3.720 0.744
1755 3.720 0.744
1760 3.719 0.744
1765 3.719 0.744
1770 3.719 0.744
