690 3.979 0.796
695 3.978 0.796
700 3.978 0.796
705 3.977 0.795
710 3.977 0.795
715 3.977 0.795
720 3.976 0.795
725 3.976 0.795
730 3.976 0.795
735 3.976 0.795
740 3.975 0.795
745 3.975 0.795
750 3.974 0.795
755 3.974 0.795
760 3.974 0.795
765 3.974 0.795
770 3.973 0.795
775 3.973 0.795
780 3.973 0.795
785 3.972 0.794
790 3.972 0.794
795 3.972 0.794
800 3.971 0.794
805 3.971 0.794
810 3.971 0.794
815 3.970 0.794
820 3.970 0.794
825 3.969 0.794
830 3.969 0.794
835 3.969 0.794
840 3.968 0.794
845 3.968 0.794
850 3.968 0.794
855 3.967 0.793
860 3.967 0.793
865 3.967 0.793
870 3.966 0.793
875 3.966 0.793
880 3.966 0.793
885 3.965 0.793
890 3.965 0.793
895 3.965 0.793
900 3.964 0.793
905 3.964 0.793
910 3.964 0.793
915 3.963 0.793
920 3.963 0.793
925 3.963 0.793
930 3.962 0.792
935 3.962 0.792
940 3.962 0.792
945 3.961 0.792
950 3.961 0.792
955 3.960 0.792
960 3.960 0.792
965 3.960 0.792
970 3.960 0.792
975 3.959 0.792
980 3.959 0.792
985 3.959 0.792
990 3.958 0.792
995 3.958 0.792
1000 3.958 0.792
1005 3.957 0.791
1010 3.957 0.791
1015 3.956 0.791
1020 3.956 0.791
1025 3.956 0.791
1030 3.955 0.791
1035 3.955 0.791
1040 3.954 0.791
1045 3.954 0.791
1050 3.954 0.791
1055 3.953 0.791
1060 3.953 0.791
1065 3.953 0.791
1070 3.952 0.790
1075 3.952 0.790
1080 3.952 0.790
1085 3.951 0.790
1090 3.951 0.790
1095 3.950 0.790
1100 3.950 0.790
1105 3.950 0.790
1110 3.949 0.790
1115 3.949 0.790
1120 3.948 0.790
1125 3.948 0.790
1130 3.948 0.790
1135 3.947 0.789
1140 3.947 0.789
1145 3.947 0.789
1150 3.947 0.789
1155 3.946 0.789
1160 3.945 0.789
1165 3.945 0.789
1170 3.945 0.789
1175 3.944 0.789
1180 3.944 0.789
1185 3.944 0.789
1190 3.943 0.789
1195 3.943 0.789
1200 3.942 0.788
1205 3.942 0.788
1210 3.942 0.788
1215 3.941 0.788
1220 3.941 0.788
1225 3.940 0.788
1230 3.940 0.788
1235 3.940 0.788
1240 3.939 0.788
1245 3.939 0.788
1250 3.938 0.788
1255 3.938 0.788
1260 3.938 0.788
1265 3.937 0.787
1270 3.937 0.787
1275 3.936 0.787
1280 3.936 0.787
1285 3.936 0.787
1290 3.935 0.787
1295 3.935 0.787
1300 3.934 0.787
1305 3.934 0.787
1310 3.934 0.787
1315 3.933 0.787
1320 3.933 0.787
1325 3.933 0.787
1330 3.932 0.786
1335 3.932 0.786
1340 3.931 0.786
1345 3.931 0.786
1350 3.930 0.786
1355 3.930 0.786
1360 3.930 0.786
1365 3.929 0.786
1370 3.929 0.786
1375 3.928 0.786
1380 3.928 0.786
1385 3.928 0.786
1390 3.927 0.785
1395 3.927 0.785
1400 3.926 0.785
1405 3.926 0.785
1410 3.925 0.785
1415 3.925 0.785
1420 3.925 0.785
1425 3.924 0.785
1430 3.924 0.785
1435 3.923 0.785
1440 3.923 0.785
1445 3.923 0.785
1450 3.922 0.784
1455 3.922 0.784
1460 3.921 0.784
1465 3.921 0.784
1470 3.921 0.784
1475 3.920 0.784
1480 3.920 0.784
1485 3.919 0.784
1490 3.919 0.784
1495 3.919 0.784
1500 3.918 0.784
1505 3.918 0.784
1510 3.917 0.783
1515 3.917 0.783
1520 3.916 0.783
1525 3.916 0.783
1530 3.916 0.783
1535 3.915 0.783
1540 3.915 0.783
1545 3.914 0.783
1550 3.914 0.783
1555 3.914 0.783
1560 3.913 0.783
1565 3.913 0.783
1570 3.912 0.782
1575 3.912 0.782
1580 3.911 0.782
1585 3.911 0.782
1590 3.911 0.782
1595 3.910 0.782
1600 3.910 0.782
1605 3.909 0.782
1610 3.909 0.782
1615 3.909 0.782
1620 3.908 0.782
1625 3.908 0.782
1630 3.908 0.782
1635 3.907 0.781
1640 3.907 0.781
1645 3.906 0.781
1650 3.906 0.781
1655 3.905 0.781
1660 3.905 0.781
1665 3.904 0.781
1670 3.904 0.781
1675 3.904 0.781
1680 3.903 0.781
1685 3.903 0.781
1690 3.903 0.781
1695 3.902 0.780
1700 3.901 0.780
1705 3.901 0.780
1710 3.901 0.780
1715 3.900 0.780
1720 3.900 0.780
1725 3.899 0.780
1730 3.899 0.780
1735 3.898 0.780
1740 3.898 0.780
1745 3.898 0.780
1750 3.897 0.779
1755 3.897 0.779
1760 3.896 0.779
1765 3.896 0.779
1770 3.896 0.779
1775 3.895 0.779
1780 3.895 0.779
1785 3.894 0.779
1790 3.894 0.779
1795 3.894 0.779
1800 3.893 0.779
1805 3.892 0.778
1810 3.892 0.778
1815 3.892 0.778
1820 3.891 0.778
1825 3.891 0.778
1830 3.891 0.778
1835 3.890 0.778
1840 3.890 0.778
1845 3.889 0.778
1850 3.889 0.778
1855 3.888 0.778
1860 3.888 0.778
1865 3.887 0.777
1870 3.887 0.777
1875 3.887 0.777
